Index,text_comments
0,"""We're sorry that you're too stupid to understand how this works"", is basically the sum of this apology in one sentence. So yeah, classic arrogant non-apology."
0,apology? they told their fans that they are too stupid to understand their idea..
0,"I love when apologies go more then beyond ""im sorry i was wrong"". Because it than somehow mutates into ""so you see.. You're actually the ones at fault."""
0,"Sounds like they're both holding back PURE RAGE AND HATRED

I feel like I'm being lectured by my parents about how it was wrong to punch my teacher"
0,They're not apologizing they're just saying how dumb their fans are and that we're just too dumb to get  what they're saying!!
1,Im impressed they both managed to keep straight faces.
1,"You can't see it, but there's a man behind the camera pointing a gun at their dogs' heads and giving them flash cards to read off of."
1,"Little did he know, this would be the least embarrassing thing he would have to do publicly with Amber Heard...."
1,"If you’ve being held captive, Johnny, blink twice."
1,"I can’t believe she took advantage of Johnny Depp’s love for her, like this. He was already in Australia and she met him there, meaning this was all her doing. She’d also done the same thing in the past and got away with it. Unbelievable."
2,"""Sorry guys my bad, your fault"""
2,Plot twist: The dog was the one pulling the strings this whole time.
2,"The background was my favorite.

""I'm sorry I scammed you guys of money, but look - I spent it all pretty well"""
2,"""I am sorry I got caught, my bad guys."""
2,I like how he parked his car perfectly into frame in the background just to rub it in more.
3,The first time I’ve had to speed up a James Charles video
3,"James: am so sorry tati for what i put you through

Me: Why did james even apologize?"
3,Why is he talking so slow... not like him.
3,"omg he APPOLOGIZED.
can they not see that he is a kind person and he loves them?

I think THEY need to apologize to HIM."
3,"dude the first time I saw this I thought it was just another stupid overdramatic apology video... but now I just feel so bad for him. honestly this is pretty damn real, hes not mock crying, theres no defense, no cuts, no ads. and yes hes talking slow but hes probably tired and heartbroken. god I'm so glad he recovered. poor guy :("
4,"she’s the only youtuber ive seen that didn’t make any excuses, just admitted she was wrong and moved on from it"
4,The person that never deserved to be canceled
4,"it’s been 3 years and I still miss her, I hope she comes back eventually"
4,"""It wasn't my intention to do blackface, but that doesn't matter, the only thing that matters is that I offended people.""
You are a beautiful person."
4,This is actually the most genuine apology I’ve ever seen and it brought me to tears :( and no one asked for it. No one was trying to cancel her. Not saying what she did was okay by any means but I respect her for this.
5,That wasn’t an apology!!
5,"“Hey guys, so yesterday I ended my career. It’s such a crazy time.”"
5,Not all of us can just “stay at home.” Not all jobs you can work from home.
5,Why does the lady talking sound like she’s falling asleep lmao
5,What a DUMB thing to say!! Even if you think that way...
6,"these people are horrible! would they get rid of a biological child who had special needs??? adoption is forever! they let everyone know about Hux when they adopted him! they never had respect for his privacy, it was all about the almighty dollar!"
6,If they really loved that child they wouldn’t have given up on him...
6,“it’s not about me at all but the last few months have been so hard on me”
6,"I see a lot of ""poor me, poor me, and not poor Hux"""
6,Did she thank Huxley for making you a millionaire before she trashed him?
7,Crazy how Travis Scott created a magnitude 1.5 earthquake at his fein concert
7,This will forever be funny to me
7,this should be in a movie
7,Bro facepalming and shi 
7,"now he broke the world record for rap tour tickets with over 1.5 million tickets sold... crazy how this didn't cancel him that's crazy, and I got to experience him live my teenage life is complete"
8,You’d think two famous actors could actually manage an at least somewhat convincing apology.
8,I see why Topher Grace never wanted to hang with any of these people offscreen.
8,For professional actors they sure don't act well. They don't look apologetic. They look annoyed that the world dares to judge them defending a convicted rapist.
8,"“They were intended for the judge to read.”

Meaning, they never expected their support to be made public."
8,Please don't let our support for a convicted raprist hurt our careers!  We're sorry that the public heard about our letters!
9,The amount of racists in this comment section is astronomical
9,"She is playing the victim. No, she does not feel sorry. You can tell she is annoyed, she can't comprehend her wrongdoings.
Racism in the Bible Belt, the Republican South, is deep rooted."
9,"""I is what I is."""
9,All that “crying” but I have yet to see one tear.
9,"As a young black man who used to work for airport security down in Savannah, GA and have run into Paula Deen in person several times can say wholeheartedly and without a doubt that this woman was absolutely warm and kind to me the entire time I had to look through her things at the checkpoint. Mind you, the same people in this forum who are relentlessly hurling ""racist"" at this woman, if I had to simply DO my job by searching your belongings, you'd spout off all kinds of crazy shit and snatch your bag back like a seven year old child. WE ALL TALK SHIT at some point. Just because you say something once, it should not DEFINE who you are as a person. Yeah, it would piss me off or shock me, but damn, I don't have a heaven or hell to put this woman in and God knows I've said and done some things in my life that I regret. She's only human and you can only be so strong before it really starts hurting you. If I want God to forgive me, love me, and accept me, I have to forgive others and know that we don't always say or do the right things. It doesn't make us bad people. Just people. Life is a long journey and we will always make mistakes no matter how many lessons we learn."
10,"I will not attempt to justify my actions"" justifies actions"
10,#DoNotStandWithGnomeStar.
10,He's made mistakes. Also his parents
10,I wonder why the likes and dislikes are disabled 😂
10,"50 minutes? Hah
no thank you."
11,"It took God 35 years to teach you those basic human values? Bakit kapag may mali kang nagawa, dinadamay mo pa ang Diyos? It’s all your doing. Grow up, Alex!"
11,si lord nanaman kahit si lord pagod na sa mga pinaggagagawa mo
11,This apology could have appeared genuine if only Kuya Allan wasn’t instructed to execute that handwritten note 😑
11,"Congrats. At 35, you learned something kids already know at 7 years old. Proud of u"
11,"Te, hindi ka nilagay ni Lord sa ganong sitwasyon para mambastos ka. Nambastos ka kase gawain mo sya talaga. Ginamit mo pa si Lord, kakaloka ka.

Magsorry ka nalang kung magsosorry ka. Gagamitin mo pa si Lord na kesyo it was a lesson he taught you. Sayo yan, hindi sa Diyos."
12,"YO, I watched your whole trip & read some users comments along the way...  right up to this response. (as well as Phillips vids) I think you handled the whole delicate thing very well. .. Bravo .. respect .. peace"
12,"You're out of your mind. This is what happens when your phoney ""be positive all the time"" vibe gets the best of you. You obviously have NEVER seen any of the VICE documentaries on North Korea or read newspapers about the human rights violations. It's not hard to find."
12,"I wish people would just take these vlogs for what they are. Of course we all know North Korea is messed up. This surfing group is making a positive connection and influence with them, and allowing North Koreans to make their own decisions about who foreigners are and what they stand for. Kudos to Louis for his heart for all people, and his wisdom and tact in how he does so. Keep up the good work."
12,"Okay, so you are saying that the media only shows ""the bad"". But aren't you just as guilty, only showing ""the good""? This is basically like a video visiting a slave plantation in the 1800s in America and showing only the good that comes from slavery, and not showing any of the bad. Slavery was very beneficial to society and it made a lot of people rich and happy. But it was also horrible and evil. 

North Korea has some good stuff in it. But the bad is so enormous, ever-present, and all-encompassing, that it snuffs out any possibility of the good being anything but a footnote. Next time you go to North Korea, try talking about the Bible, or Capitalism, or anything that the government disagrees with. You can do that in South Korea. You can't in North Korea."
12,"I kind of agree with the criticism of this, but I am also on your side too. You ARE just showing us the good side and largely ignoring the problems there but... What are they expecting you to do? Make vlogs on executions and torture? It's not really up to you to highlight and expose socioeconomic and political issues is it? Your channel wouldn't have ""Fun"" in the title for long if it was. There's nothing really you could do differently,  so just keep doing what you're doing.  North Korea is going to be a touchy subject no matter what."
13,Max would go on to never combine words ever again.
13,At least he wasn't fighting Balrog when he said it
13,"I'm black and i laughed when he said it as well, i know it was a slip of the tongue. I've watched his streams b4 and i know he's cool guy..i hope no one gives him a bad time."
13,This dude is way to nice and pure to be racist.
13,Lmao so Max is a Racist now? Seriously stop. The dude literally has Black friends and an Asian wife XD
14,"""I don't care about the money"" puts ads on apology video!"
14,"I don't always apologize 
But when I do


I don't "
14,I'm glad that my AdBlock doesn't let her have that ad revenue
14,"Idubbbz: says the N word
Tana: tells him to kill himself

Jake paul: says the N word
Tana: Marries him"
14,Tana is deleting her comments faster than Hillary emails
15,Jontron being serious is the scariest thing ever.
15,Just realised jontron looks like every age at once
15,every time I see this I think about how much more chest hair I have than JonTron and wonder if that's a good thing or not
15,I appreciate Jon researched the Irish after the fact.
15,"Literally everything he says here is 1,000,000% true. Aged like a fine wine."
16,“Worst week of our life” Yeah you gave them damage for their whole lives. Your disguisting.
16,All abusers r sorry once they get caught. They weren’t sorry when they were abusing the kids
16,"""We Just Wanted Our Kids To Be Happy.""
Throws Cody's Toys Away, Destroys Cody's DS and yells at him and Alex."
16,notice how they just feel sorry for themselfs and not the kids
16,Notice how angry Mike looks throughout the whole video. He knows he's lost his meal ticket.
17,"10:36 is when he starts his ""apology"". Like if I helped"
17,y don't u apologize to Alyssa directly!?
17,why don't you try being a human and actually say sorry to her
17,Who else came from Alissa's video? Like.. if you're really sorry then NAME EVERY PERSON YOU HURT!! GOD
17,when your acting classes from disney come in handy
18,Im 3 years late but you can tell its genuine.
18,"•no fake crying
•no dumb excuses
•is mature
•owned up
•didn't ignore it
that right there, is a king."
18,"It’s ok Felix, it was a canon event."
18,still the best apology video I've ever seen after the recent video.
18,He already has a lifetime n-word pass from Edgar
19,What? For 30 years that once boy has been tortured from the assault & you give Spacey a pass because he was allegedly drunk? #TwistedSick
19,Why did you even have a 14 year old at your apartment for a party where alcohol was being consumed???
